"Latitude","Longitude","Query","Size"
40.766348,-73.976738,"Central Park",14
40.767367,-73.970736,"Central Park",4
40.744305,-73.983228,"Central Park",2
40.7474,-73.98788,"Central Park",4
40.764226,-73.973351,"Central Park",13
40.77766,-73.973346,"Central Park",12
40.779105,-73.983932,"Central Park",7
40.77766,-73.973346,"Central Park",10
40.768924,-73.975307,"Central Park",13
40.766209,-73.977342,"Central Park",10
40.768924,-73.975307,"Central Park",5
40.768924,-73.975307,"Central Park",17
40.768924,-73.975307,"Central Park",5
40.768924,-73.975307,"Central Park",1
40.768924,-73.975307,"Central Park",2
40.768924,-73.975307,"Central Park",7
40.768924,-73.975307,"Central Park",2
40.767457,-73.971872,"Central Park",5
40.768924,-73.975307,"Central Park",23
40.764539,-73.980905,"Central Park",13
40.781499,-73.97184,"Central Park",4
40.768924,-73.975307,"Central Park",6
40.768924,-73.975307,"Central Park",5
40.779494,-73.968983,"Central Park",7
40.772596,-73.97129,"Central Park",8
40.768924,-73.975307,"Central Park",5
40.771622,-73.971989,"Central Park",21
40.781499,-73.97184,"Central Park",6
40.765386,-73.973752,"Central Park",15
40.768924,-73.975307,"Central Park",10
40.768924,-73.975307,"Central Park",3
40.776884,-73.975628,"Central Park",1
40.768924,-73.975307,"Central Park",5
40.768924,-73.975307,"Central Park",2
40.785136,-73.969213,"Central Park",7
40.783237,-73.956392,"Central Park",1
40.765343,-73.971439,"Central Park",9
40.768924,-73.975307,"Central Park",7
40.767367,-73.970736,"Central Park",3
40.77766,-73.973346,"Central Park",7
40.773241,-73.974392,"Central Park",5
40.768924,-73.975307,"Central Park",2
40.768924,-73.975307,"Central Park",10
40.768924,-73.975307,"Central Park",3
40.767367,-73.970736,"Central Park",21
40.768924,-73.975307,"Central Park",9
40.768924,-73.975307,"Central Park",43
40.765894,-73.972308,"Central Park",18
40.767444,-73.971934,"Central Park",5
40.768924,-73.975307,"Central Park",4
40.781499,-73.97184,"Central Park",4
40.768924,-73.975307,"Central Park",11
40.768924,-73.975307,"Central Park",2
40.765881,-73.976515,"Central Park",1
40.781499,-73.97184,"Central Park",12
40.768924,-73.975307,"Central Park",3
40.768924,-73.975307,"Central Park",36
40.768924,-73.975307,"Central Park",4
40.768924,-73.975307,"Central Park",11
40.768924,-73.975307,"Central Park",3
40.768924,-73.975307,"Central Park",16
40.771782,-73.977138,"Central Park",10
40.77199,-73.975114,"Central Park",43
40.768924,-73.975307,"Central Park",12
40.768924,-73.975307,"Central Park",15
40.768924,-73.975307,"Central Park",19
40.768924,-73.975307,"Central Park",4
40.768924,-73.975307,"Central Park",2
40.768924,-73.975307,"Central Park",5
40.768924,-73.975307,"Central Park",2
40.768924,-73.975307,"Central Park",10
40.768924,-73.975307,"Central Park",8
40.772806,-73.971448,"Central Park",3
40.768924,-73.975307,"Central Park",5
40.768924,-73.975307,"Central Park",18
40.766348,-73.976738,"Central Park",5
40.765881,-73.976515,"Central Park",13
40.768924,-73.975307,"Central Park",8
40.768924,-73.975307,"Central Park",7
40.765881,-73.976515,"Central Park",4
40.768924,-73.975307,"Central Park",5
40.768924,-73.975307,"Central Park",1
40.785369,-73.969292,"Central Park",6
40.768924,-73.975307,"Central Park",18
40.768924,-73.975307,"Central Park",9
40.768924,-73.975307,"Central Park",7
40.768924,-73.975307,"Central Park",1
40.768924,-73.975307,"Central Park",5
40.768924,-73.975307,"Central Park",4
40.768924,-73.975307,"Central Park",7
40.778413,-73.967042,"Central Park",5
40.768924,-73.975307,"Central Park",2
40.774489,-73.97395,"Central Park",7
40.768924,-73.975307,"Central Park",2
