angry,2747
instead,2744
buddy,2743
write,2741
stopped,2719
early,2719
angel,2701
nick,2699
ran,2692
war,2690
standing,2690
forgive,2690
jail,2684
wearing,2678
miguel,2678
ladies,2670
kinda,2662
lunch,2660
cristian,2659
eight,2655
greenlee,2654
gotten,2640
hoping,2639
phoebe,2638
thousand,2633
ridge,2633
music,2631
luke,2614
paper,2607
tough,2606
tape,2605
emily,2595
state,2592
count,2589
college,2589
boyfriend,2589
proud,2586
agree,2584
birthday,2580
bill,2572
seven,2569
they've,2566
timmy,2565
history,2564
share,2563
offer,2563
hurry,2559
ow,2557
feet,2555
wondering,2549
simple,2549
decision,2548
building,2546
ones,2539
finish,2535
voice,2530
herself,2530
chris,2529
would've,2523
list,2518
kay,2517
mess,2516
deserve,2516
evidence,2514
cute,2504
jerry,2503
dress,2501
richard,2499
interesting,2497
jesus,2487
james,2478
hotel,2463
enjoy,2463
ryan,2461
lindsay,2461
quiet,2454
concerned,2452
road,2448
eve,2445
staying,2443
short,2440
m,2440
beat,2440
sweetie,2439
mention,2434
clothes,2434
finished,2423
fell,2419
neither,2417
mmm,2414
fix,2414
victor,2412
respect,2410
spent,2406
prison,2401
attention,2397
holding,2394
calls,2389
near,2386
surprised,2381
bar,2376
beth,2375
pass,2374
keeping,2371
gift,2371
hadn't,2369
putting,2366
dark,2361
self,2358
owe,2354
using,2345
nora,2345
ice,2345
helping,2342
bitch,2341
normal,2339
aunt,2339
lawyer,2338
apart,2336
certain,2333
plans,2327
jax,2326
girlfriend,2325
floor,2325
whether,2316
everything's,2316
present,2313
earth,2312
private,2311
jessica,2310
box,2304
dawson,2303
cover,2298
judge,2294
upstairs,2293
alexis,2287
shawn,2281
sake,2281
mommy,2281
possibly,2280
worst,2276
station,2276
acting,2276
accept,2271
blow,2268
strange,2266
saved,2266
ivy,2266
conversation,2266
plane,2259
mama,2257
yesterday,2254
lied,2251
quick,2249
lately,2249
stuck,2240
lovely,2239
security,2237
report,2236
barbara,2235
difference,2227
rid,2226
tv,2225
adam,2219
store,2217
she'd,2209
bag,2209
mike,2205
bought,2201
ball,2200
single,2195
kevin,2192
doubt,2191
listening,2186
major,2181
walking,2180
cops,2180
blue,2180
deep,2167
dangerous,2162
buffy,2162
park,2160
sleeping,2154
chloe,2154
rafe,2149
shh,2142
record,2140
lord,2139
erica,2139
moved,2127
join,2126
key,2125
captain,2117
card,2113
crime,2110
gentlemen,2096
willing,2089
window,2084
return,2081
walked,2075
guilty,2072
brenda,2072
likes,2070
fighting,2066
difficult,2065
soul,2063
joke,2062
service,2056
magic,2053
favorite,2052
uncle,2050
promised,2047
public,2045
bother,2042
island,2041
jim,2039
seriously,2036
cell,2036
lead,2033
knowing,2032
broken,2026
