id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
243,SIXP,small_airport,"Fazenda Paiaguás Airport",-14.07229995727539,-57.45069885253906,2038,SA,BR,BR-MT,Diamantino,0,SIXP,,SIXP,,,,50,2008-06-24T09:40:26+00:00
528,SWDM,small_airport,"Diamantino Airport",-14.376899719238281,-56.40039825439453,1476,SA,BR,BR-MT,Diamantino,0,SWDM,DMT,SWDM,,,,50,2008-06-24T09:40:26+00:00
36038,SIIZ,small_airport,"Fazenda Chalana Airport",-14.164443969726562,-57.162776947021484,2001,SA,BR,BR-MT,Diamantino,0,SIIZ,,,,,,50,2008-06-24T09:40:26+00:00
36328,SIWC,small_airport,"Fazenda Santa Rita Airport",-14.133889198303223,-57.366111755371094,2054,SA,BR,BR-MT,Diamantino,0,SIWC,,,,,,50,2008-06-24T09:40:26+00:00
36330,SIWF,small_airport,"Algodoeira Airport",-14.185556411743164,-57.55055618286133,2035,SA,BR,BR-MT,Diamantino,0,SIWF,,,,,,50,2008-06-24T09:40:26+00:00
36333,SIWI,small_airport,"Guapirama Airport",-13.93416690826416,-57.24277877807617,1700,SA,BR,BR-MT,Diamantino,0,SIWI,,,,,,50,2008-06-24T09:40:26+00:00
36336,SIWL,small_airport,"Fazenda Espigão Airport",-14.125,-56.93611145019531,1690,SA,BR,BR-MT,Diamantino,0,SIWL,,,,,,50,2008-06-24T09:40:26+00:00
36583,SJHO,small_airport,"Fazenda Colorado Airport",-13.95138931274414,-57.10555648803711,1699,SA,BR,BR-MT,Diamantino,0,SJHO,,,,,,50,2008-06-24T09:40:26+00:00
37225,SNQI,small_airport,"Fazenda Camagril Agropecuária Airport",-14.118056297302246,-57.34111022949219,2756,SA,BR,BR-MT,Diamantino,0,SNQI,,,,,,50,2008-06-24T09:40:26+00:00
37791,SWAV,small_airport,"Fazenda Água Verde Airport",-14.07277774810791,-57.4547233581543,2037,SA,BR,BR-MT,Diamantino,0,SWAV,,,,,,50,2008-06-24T09:40:26+00:00
37837,SWDT,small_airport,"Fazenda Pioneira Airport",-14.283611297607422,-57.700557708740234,2178,SA,BR,BR-MT,Diamantino,0,SWDT,,,,,,50,2008-06-24T09:40:26+00:00
