Time,CPU (%),RAM (%),TCP Out (MB)
2019.6635711567733,0.3,12.69,0
2019.6635730593607,0.23,12.68,0
2019.6635749619481,0.32,12.7,0
2019.6635768645358,0.17,12.7,0
2019.6635787671232,0.17,12.69,0
2019.6635806697109,0.28,12.72,0
2019.6635825722983,0.11,12.7,0
2019.6635844748857,0.39,12.7,0
2019.6635863774734,0.17,12.7,0
2019.6635882800608,0.17,12.7,0
2019.6635901826485,0.23,12.71,0
2019.663592085236,0.15,12.7,0
2019.6635939878233,0.31,12.7,0
2019.663595890411,0.11,12.7,0
2019.6635977929984,0.17,12.7,0
2019.663599695586,0.26,12.71,0
2019.6636015981735,0.3,12.7,0
2019.663603500761,0.19,12.7,0
2019.6636054033486,0.16,12.7,0
2019.663607305936,0.12,12.7,0
2019.6636092085237,0.35,12.71,0
2019.663611111111,0.32,12.7,0
2019.6636130136985,0.32,12.67,0
2019.6636149162862,0.1,12.67,0
2019.6636168188736,0.21,12.68,0
2019.6636187214613,0.17,12.68,0
2019.6636206240487,0.35,12.7,0
2019.6636225266361,0.31,12.71,0
2019.6636244292238,0.19,12.71,0
2019.6636263318112,0.15,12.71,0
2019.6636282343989,0.15,12.71,0
2019.6636301369863,0.27,12.71,0
2019.6636320395737,0.44,12.66,0
2019.6636339421614,0.17,12.65,0
2019.6636358447488,0.21,12.65,0.01
2019.6636377473365,0.35,12.65,0
2019.6636396499239,3.6,12.97,0.01
2019.6636415525113,0.33,12.76,0
2019.663643455099,0.31,12.75,0
2019.6636453576864,0.13,12.75,0
2019.663647260274,0.21,12.75,0
2019.6636491628615,0.32,12.74,0
2019.663651065449,0.18,12.71,0
2019.6636529680366,0.11,12.71,0
2019.663654870624,0.17,12.71,0
2019.6636567732116,0.15,12.72,0
2019.663658675799,0.5,12.73,0
2019.6636605783865,0.28,12.7,0
2019.6636624809742,0.13,12.7,0
2019.6636643835616,0.95,12.7,0
2019.6636662861492,0.12,12.7,0
2019.6636681887367,0.28,12.71,0
2019.663670091324,0.33,12.68,0
2019.6636719939117,0.18,12.68,0
2019.6636738964992,0.15,12.68,0
2019.6636757990868,0.2,12.68,0
2019.6636777016743,0.37,12.69,0
