COD_UF,SG_UF,NM_UF,NM_MICRO,NM_MESO,TP_MUNICIPIO,CD_MUNICIPIO,NM_MUNICIPIO,LONG,LAT,ALT
13,AM,AMAZONAS,ALTO SOLIMÕES,SUDOESTE AMAZONENSE,URBANO,1304237,TONANTINS,-6777648228,-286109125,66102264
13,AM,AMAZONAS,TEFÉ,CENTRO AMAZONENSE,URBANO,1304260,UARINI,-6515534564,-2983609243,42588237
13,AM,AMAZONAS,PARINTINS,CENTRO AMAZONENSE,URBANO,1304302,URUCARÁ,-5775982817,-2536611672,17708774
13,AM,AMAZONAS,ITACOATIARA,CENTRO AMAZONENSE,URBANO,1304401,URUCURITUBA,-5815964104,-3134633116,2307491
14,RR,RORAIMA,BOA VISTA,NORTE DE RORAIMA,URBANO,1400027,AMAJARI,-6142059017,3652118445,107717395
14,RR,RORAIMA,BOA VISTA,NORTE DE RORAIMA,URBANO,1400050,ALTO ALEGRE,-6131402239,2993822948,121741984
14,RR,RORAIMA,BOA VISTA,NORTE DE RORAIMA,URBANO,1400100,BOA VISTA,-6067053267,2816681919,79828228
14,RR,RORAIMA,NORDESTE DE RORAIMA,NORTE DE RORAIMA,URBANO,1400159,BONFIM,-5987800663,3350288619,86647022
14,RR,RORAIMA,NORDESTE DE RORAIMA,NORTE DE RORAIMA,URBANO,1400175,CANTÁ,-6060206285,2607666398,829828
14,RR,RORAIMA,CARACARAÍ,SUL DE RORAIMA,URBANO,1400209,CARACARAÍ,-6114917687,1803871247,49583211
14,RR,RORAIMA,SUDESTE DE RORAIMA,SUL DE RORAIMA,URBANO,1400233,CAROEBE,-5969481007,872674507,128834768
14,RR,RORAIMA,CARACARAÍ,SUL DE RORAIMA,URBANO,1400282,IRACEMA,-6105225859,2168214765,80642282
14,RR,RORAIMA,CARACARAÍ,SUL DE RORAIMA,URBANO,1400308,MUCAJAÍ,-6091151853,2479772235,69628559
14,RR,RORAIMA,NORDESTE DE RORAIMA,NORTE DE RORAIMA,URBANO,1400407,NORMANDIA,-5963520628,3882978285,102784875
14,RR,RORAIMA,BOA VISTA,NORTE DE RORAIMA,URBANO,1400456,PACARAIMA,-6114730635,447525934,912129909
14,RR,RORAIMA,SUDESTE DE RORAIMA,SUL DE RORAIMA,URBANO,1400472,RORAINÓPOLIS,-6042506049,937195394,83796679
14,RR,RORAIMA,SUDESTE DE RORAIMA,SUL DE RORAIMA,URBANO,1400506,SÃO JOÃO DA BALIZA,-5990604435,947157427,121245643
14,RR,RORAIMA,SUDESTE DE RORAIMA,SUL DE RORAIMA,URBANO,1400605,SÃO LUIZ,-6002826677,1018111627,116345918
14,RR,RORAIMA,NORDESTE DE RORAIMA,NORTE DE RORAIMA,URBANO,1400704,UIRAMUTÃ,-6019571615,4585440388,605799563
