MR,"-6.09,15.49 1.25,9.45 -2.98,12.36 -7.31,6.02 -11.03,5.95 -10.34,1.13 -6.31,-0.83"
MU,""
YT,""
MX,"-117.19,32.67 19.73,-6.48 21.25,-13.98 29.81,-11.25 29.11,-14.02 27.84,-14.82 24.78,-18.23 11.67,-12.75"
FM,""
MD,"28.82,47.98 1.44,-1.46 -0.79,-2.11 -2.09,-0.19"
MC,""
MN,"102.74,40.38 14.56,6.14 13.87,9.18 -3.54,11.46 -14.87,8.48"
ME,"19.18,41.96 0.87,0.89 0.12,1.64 -1.13,0.69"
MS,""
MA,"-6.15,35.76 4.35,-0.65 -2.91,-7.91 -7,-7.91"
MZ,"31.08,-22.43 2.06,2.82 -0.96,6.66 1.56,8.44 4.16,5.77 3.52,10.75 9.13,11.94 9.20,7.34 1.60,-4.31 0.59,-3.31"
MM,"92.53,22.4 4.67,5.83 8.2,-0.95 7.31,-1.84 5.14,-4.02 6.62,-9.94 5.82,-12.13 4.31,-5.42"
NA,"16.55,-28.89 3.32,2.69 4.37,10.42 8.69,11.05 6.48,11.05 -5.08,11.82"
NR,""
NP,"88,27.91 -7.07,2.34 -8.27,1.12 -0.13,-1.4"
NL,"3.76,51.36 1.49,1.74 3.19,2 2,-0.43"
AN,""
NC,""
NZ,"175.21,-41.43 -0.63,4.74 3.4,3.46*166.71,-45.8 6.04,5.11 7.28,3.89 2.51,-0.78"
NI,"-87.68,12.88 4.23,2.08 4.23,-2.08 1.51,-2.08"
NE,"14.66,12.39 0.19,10.47 -3.1,10.7 -10.61,6.28 -14.64,2.27 -12.31,-0.33 -11.17,-0.76"
NG,"8.49,4.71 6.17,7.68 -5,6.92 -6.32,1.79"
NU,""
NF,""
MP,""
NO,"5.05,61.16 5.94,-2.16 15.25,8.28 23.77,8.04 25.41,8.9 13.84,9.07"
OM,"55.98,25.88 3.91,-3.93 -2.83,-9.19 -4.22,-7.22 -0.88,-3.31"
PK,"77.47,35.5 -9.21,-11.84 -15.69,-10.2 -16.5,-5.89 -9.89,-5.18 -5.79,1.07 -2.58,1.71"
PW,""
PS,"34.82,32.53 0,-0.59 -0.47,-0.93"
PA,"-83.65,8.88 5.63,-1.22 6.49,-0.37 1.21,0.89"
